id,admin_name,left,top,width,height,center_x,center_y,drop_x,drop_y,drop_x,drop_y
THA,Thailand,3148,954,111,186,3203.5,1047.0,3205.0406211965847,1046.38713537991,3205.0406211965847,1046.38713537991
TLS,East Timor,3451,1279,55,33,3478.5,1295.5,3478.9145991692603,1295.7135844238214,3478.9145991692603,1295.7135844238214
TGO,Togo,2038,1060,39,74,2057.5,1097.0,2059.549851824957,1096.4255393507542,2059.549851824957,1096.4255393507542
TON,Tonga,35,1364,43,94,56.5,1411.0,53.66566039099869,1435.4895103431104,53.66566039099869,1435.4895103431104
TTO,Trinidad and Tobago,1335,1058,33,31,1351.5,1073.5,1351.0023372497903,1075.882797385955,1351.0023372497903,1075.882797385955
TUN,Tunisia,2125,762,64,98,2157.0,811.0,2148.838119865398,810.1954675882662,2148.838119865398,810.1954675882662
TUR,Turkey,2332,708,235,88,2449.5,752.0,2451.6668951623474,751.3765347157328,2451.6668951623474,751.3765347157328
TKM,Turkmenistan,2637,700,178,104,2726.0,752.0,2719.4631504946074,751.3193714574215,2719.4631504946074,751.3193714574215
TUV,Tuvalu,4044,1251,52,60,4070.0,1281.0,4081.0310634641833,1279.7686770119103,4081.0310634641833,1279.7686770119103
UGA,Uganda,2376,1139,79,81,2415.5,1179.5,2419.8724673631395,1178.9634219975105,2419.8724673631395,1178.9634219975105
UKR,Ukraine,2292,591,222,98,2403.0,640.0,2401.409876453973,639.5305451406211,2401.409876453973,639.5305451406211
ARE,United Arab Emirates,2627,890,72,56,2663.0,918.0,2675.3378376324317,917.5879872284438,2675.3378376324317,917.5879872284438
GBR,United Kingdom,1884,494,193,142,1980.5,565.0,2026.2496460759596,576.6929825735103,2026.2496460759596,576.6929825735103
USA,United States of America,2,374,4094,615,2049.0,681.5,913.6534436683138,770.8858066431993,913.6534436683138,770.8858066431993
URY,Uruguay,1375,1529,78,73,1414.0,1565.5,1412.907739151558,1564.747459453155,1412.907739151558,1564.747459453155
UZB,Uzbekistan,2677,668,212,113,2783.0,724.5,2769.232556707835,723.9517372643552,2769.232556707835,723.9517372643552
VUT,Vanuatu,3935,1335,55,99,3962.5,1384.5,3963.497059606638,1395.7705288647107,3963.497059606638,1395.7705288647107
VEN,Venezuela,1205,1008,171,188,1290.5,1102.0,1303.7757943879897,1121.6141666645321,1303.7757943879897,1121.6141666645321
VNM,Vietnam,3202,921,101,185,3252.5,1013.5,3275.125810187719,1013.0496955335104,3275.125810187719,1013.0496955335104
YEM,Yemen,2524,971,154,95,2601.0,1018.5,2588.283500118903,1014.8705288647101,2588.283500118903,1014.8705288647101
